# advisor_vehicle_db_runtime_index_v1
META	sourcePath	data/vehicle_db_compact.json
META	sourceRows	155767
META	yearMin	2000
META	yearMax	2026
META	yearCount	27
META	makeCount	299
META	modelCount	1505
META	recordCount	11353
RECORD	2000	CHEVROLET	CHEVROLET	METRO	METRO	METRO	METRO	METRO	METRO
RECORD	2000	CHEVROLET	CHEVROLET	MONTE CARLO	MONTE CARLO	MONTECARLO	MONTECARLO	MONTE CARLO	MONTECARLO
RECORD	2000	CHEVROLET	CHEVROLET	PRIZM	PRIZM	PRIZM	PRIZM	PRIZM	PRIZM
RECORD	2000	CHEVY TRUCKS	CHEVROLET	BLAZER	BLAZER	BLAZER	BLAZER	BLAZER	BLAZER
RECORD	2000	CHEVY TRUCKS	CHEVROLET	C2 SERIES	C2 SERIES	C2SERIES	C2SERIES	C2 SERIES	C2SERIES
RECORD	2000	CHEVY TRUCKS	CHEVROLET	C3 SERIES	C3 SERIES	C3SERIES	C3SERIES	C3 SERIES	C3SERIES
RECORD	2000	CHEVY TRUCKS	CHEVROLET	K2 SERIES	K2 SERIES	K2SERIES	K2SERIES	K2 SERIES	K2SERIES
RECORD	2000	CHEVY TRUCKS	CHEVROLET	K3 SERIES	K3 SERIES	K3SERIES	K3SERIES	K3 SERIES	K3SERIES
RECORD	2000	CHEVY TRUCKS	CHEVROLET	S10	S10	S10	S10	S10	S10
RECORD	2000	CHEVY TRUCKS	CHEVROLET	SILVERADO	SILVERADO	SILVERADO	SILVERADO	SILVERADO	SILVERADO
RECORD	2000	CHEVY TRUCKS	CHEVROLET	SUBURBAN	SUBURBAN	SUBURBAN	SUBURBAN	SUBURBAN	SUBURBAN
RECORD	2000	CHEVY TRUCKS	CHEVROLET	TAHOE	TAHOE	TAHOE	TAHOE	TAHOE	TAHOE
RECORD	2000	CHEVY TRUCKS	CHEVROLET	TRACKER	TRACKER	TRACKER	TRACKER	TRACKER	TRACKER
RECORD	2000	CHEVY VANS	CHEVROLET	ASTRO	ASTRO	ASTRO	ASTRO	ASTRO	ASTRO
RECORD	2000	CHEVY VANS	CHEVROLET	EXPRESS G15	EXPRESS G15	EXPRESSG15	EXPRESSG15	EXPRESS G15	EXPRESSG15
RECORD	2000	CHEVY VANS	CHEVROLET	EXPRESS G25	EXPRESS G25	EXPRESSG25	EXPRESSG25	EXPRESS G25	EXPRESSG25
RECORD	2000	CHEVY VANS	CHEVROLET	EXPRESS G35	EXPRESS G35	EXPRESSG35	EXPRESSG35	EXPRESS G35	EXPRESSG35
RECORD	2000	CHEVY VANS	CHEVROLET	VENTURE	VENTURE	VENTURE	VENTURE	VENTURE	VENTURE
RECORD	2000	CHRYSLER	CHRYSLER	300M	300M	300M	300M	300M	300M
RECORD	2000	CHRYSLER	CHRYSLER	CIRRUS	CIRRUS	CIRRUS	CIRRUS	CIRRUS	CIRRUS
RECORD	2000	CHRYSLER	CHRYSLER	CONCORDE	CONCORDE	CONCORDE	CONCORDE	CONCORDE	CONCORDE
RECORD	2000	CHRYSLER	CHRYSLER	GRND VOYAGER	GRND VOYAGER	GRNDVOYAGER	GRNDVOYAGER	GRND VOYAGER	GRNDVOYAGER
RECORD	2000	CHRYSLER	CHRYSLER	INTREPID	INTREPID	INTREPID	INTREPID	INTREPID	INTREPID
RECORD	2000	CHRYSLER	CHRYSLER	LHS	LHS	LHS	LHS	LHS	LHS
RECORD	2000	CHRYSLER	CHRYSLER	NEON	NEON	NEON	NEON	NEON	NEON
RECORD	2000	CHRYSLER	CHRYSLER	SEBRING	SEBRING	SEBRING	SEBRING	SEBRING	SEBRING
RECORD	2000	CHRYSLER	CHRYSLER	TOWN COUNTRY	TOWN COUNTRY	TOWNCOUNTRY	TOWNCOUNTRY	TOWN COUNTRY	TOWNCOUNTRY
RECORD	2000	CHRYSLER	CHRYSLER	VOYAGER	VOYAGER	VOYAGER	VOYAGER	VOYAGER	VOYAGER
RECORD	2000	CLUB CAR	CLUB CAR	CARRYALL	CARRYALL	CARRYALL	CARRYALL	CARRYALL	CARRYALL
RECORD	2000	CLUB CAR	CLUB CAR	DS	DS	DS	DS	DS	DS
RECORD	2000	CLUB CAR	CLUB CAR	LSV	LSV	LSV	LSV	LSV	LSV
RECORD	2000	DAEWOO	DAEWOO	LANOS	LANOS	LANOS	LANOS	LANOS	LANOS
RECORD	2000	DAEWOO	DAEWOO	LEGANZA	LEGANZA	LEGANZA	LEGANZA	LEGANZA	LEGANZA
RECORD	2000	DAEWOO	DAEWOO	NUBIRA	NUBIRA	NUBIRA	NUBIRA	NUBIRA	NUBIRA
RECORD	2000	DODGE	DODGE	AVENGER	AVENGER	AVENGER	AVENGER	AVENGER	AVENGER
RECORD	2000	DODGE	DODGE	INTREPID	INTREPID	INTREPID	INTREPID	INTREPID	INTREPID
RECORD	2000	DODGE	DODGE	NEON	NEON	NEON	NEON	NEON	NEON
RECORD	2000	DODGE	DODGE	STRATUS	STRATUS	STRATUS	STRATUS	STRATUS	STRATUS
RECORD	2000	DODGE	DODGE	VIPER	VIPER	VIPER	VIPER	VIPER	VIPER
RECORD	2000	DODGE TRUCKS	DODGE	BR1500	BR1500	BR1500	BR1500	BR1500	BR1500
RECORD	2000	DODGE TRUCKS	DODGE	BR2500	BR2500	BR2500	BR2500	BR2500	BR2500
RECORD	2000	DODGE TRUCKS	DODGE	BR3500	BR3500	BR3500	BR3500	BR3500	BR3500
RECORD	2000	DODGE TRUCKS	DODGE	DAKOTA	DAKOTA	DAKOTA	DAKOTA	DAKOTA	DAKOTA
RECORD	2000	DODGE TRUCKS	DODGE	DURANGO	DURANGO	DURANGO	DURANGO	DURANGO	DURANGO
RECORD	2000	DODGE TRUCKS	DODGE	RAMCHARGER	RAMCHARGER	RAMCHARGER	RAMCHARGER	RAMCHARGER	RAMCHARGER
RECORD	2000	DODGE VANS	DODGE	CARAVAN	CARAVAN	CARAVAN	CARAVAN	CARAVAN	CARAVAN
RECORD	2000	DODGE VANS	DODGE	GRAND CARAVN	GRAND CARAVAN	GRANDCARAVN	GRANDCARAVAN	GRAND CARAVAN|GRAND CARAVN	GRANDCARAVAN|GRANDCARAVN
RECORD	2000	DODGE VANS	DODGE	RAM VAN 1500	RAM VAN 1500	RAMVAN1500	RAMVAN1500	RAM VAN 1500	RAMVAN1500
RECORD	2000	DODGE VANS	DODGE	RAM VAN 2500	RAM VAN 2500	RAMVAN2500	RAMVAN2500	RAM VAN 2500	RAMVAN2500
RECORD	2000	DODGE VANS	DODGE	RAM VAN 3500	RAM VAN 3500	RAMVAN3500	RAMVAN3500	RAM VAN 3500	RAMVAN3500
RECORD	2000	DODGE VANS	DODGE	RAM WAG 1500	RAM WAG 1500	RAMWAG1500	RAMWAG1500	RAM WAG 1500	RAMWAG1500
RECORD	2000	DODGE VANS	DODGE	RAM WAG 2500	RAM WAG 2500	RAMWAG2500	RAMWAG2500	RAM WAG 2500	RAMWAG2500
RECORD	2000	DODGE VANS	DODGE	RAM WAG 3500	RAM WAG 3500	RAMWAG3500	RAMWAG3500	RAM WAG 3500	RAMWAG3500
RECORD	2000	EZ GO	EZ GO	SHUTTLE	SHUTTLE	SHUTTLE	SHUTTLE	SHUTTLE	SHUTTLE
RECORD	2000	EZ GO	EZ GO	TXT	TXT	TXT	TXT	TXT	TXT
RECORD	2000	FERRARI	FERRARI	360	360	360	360	360	360
RECORD	2000	FERRARI	FERRARI	456GT	456GT	456GT	456GT	456GT	456GT
RECORD	2000	FERRARI	FERRARI	F355	F355	F355	F355	F355	F355
RECORD	2000	FERRARI	FERRARI	F550	F550	F550	F550	F550	F550
RECORD	2000	FORD	FORD	CONTOUR	CONTOUR	CONTOUR	CONTOUR	CONTOUR	CONTOUR
RECORD	2000	FORD	FORD	CROWN VICTOR	CROWN VICTOR	CROWNVICTOR	CROWNVICTOR	CROWN VICTOR	CROWNVICTOR
RECORD	2000	FORD	FORD	ESCORT	ESCORT	ESCORT	ESCORT	ESCORT	ESCORT
RECORD	2000	FORD	FORD	FOCUS	FOCUS	FOCUS	FOCUS	FOCUS	FOCUS
RECORD	2000	FORD	FORD	MUSTANG	MUSTANG	MUSTANG	MUSTANG	MUSTANG	MUSTANG
RECORD	2000	FORD	FORD	TAURUS	TAURUS	TAURUS	TAURUS	TAURUS	TAURUS
RECORD	2000	FORD TRUCKS	FORD	EXCURSION	EXCURSION	EXCURSION	EXCURSION	EXCURSION	EXCURSION
RECORD	2000	FORD TRUCKS	FORD	EXPEDITION	EXPEDITION	EXPEDITION	EXPEDITION	EXPEDITION	EXPEDITION
RECORD	2000	FORD TRUCKS	FORD	EXPLORER	EXPLORER	EXPLORER	EXPLORER	EXPLORER	EXPLORER
